Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS6 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
72137286,2020-03-06,33,B,52,21,10,13,Z2I27J4,85LF707,QC2FS6W,,000084,CN,CN,0.0,FCN1,E,432.0,2106.0,1,1
81894492,2020-09-11,40,B,6,21,12,14,OGSN7P6,I8E3QYY,Q7Q5NE9,W5AYVM,000073,MY,KR,8.0,A,E,1020.0,16499200.0,0,0
25828576,2020-08-25,40,B,57,21,9,10,SM89FYN,H57QUID,95JVT3P,,000076,AE,AE,1.0,A,S,95236.0,10032.0,0,0
12034367,2020-11-20,20,B,48,21,11,14,LIDFHWP,8CT2L51,1PLG40N,,000084,US,US,0.0,FUS1,G,1650.0,16.16,0,0
48842240,2021-02-01,30,B,55,21,33,15,1XCM1XF,8CT2L51,Q01ZXXC,,000085,HK,CN,0.0,C,Y,20.0,7170000.0,0,0
87741354,2020-07-26,33,B,6,21,36,13,PF1L1IG,JR00P65,H8CM8ZZ,,000042,US,CN,8.0,A,B,5.0,379782.0,0,0
28008912,2020-05-14,20,B,37,21,11,12,1XCM1XF,04WPW2F,UG623D9,,000039,CN,CN,0.0,FCN1,G,2223.0,252.8,0,0
65315989,2020-07-07,16,B,37,21,11,13,WJ6ASIS,NFHS86H,WTINW6E,,000085,JP,JP,0.0,C,G,15.0,4512000.0,1,1
70240241,2020-03-02,20,B,7,21,12,42,DWNJQL8,D7KA2TV,Z64QME2,,000084,CN,CN,0.0,FCN1,Y,18600.0,23.4,0,0
54098318,2021-02-01,20,B,52,21,41,45,DWNJQL8,WRYK22U,RK7JZ33,,000039,ID,ID,0.0,FAS1,S,20983.5,2632.5,0,0
81750496,2021-02-04,30,B,74,21,13,15,HV1AB1L,H57QUID,6X6SMWT,,000038,US,KR,0.0,C,G,8.0,3750000.0,0,0
43844725,2020-05-26,140,B,10,21,8,13,FVI4U22,FXZO2D1,AZMZUY5,,000084,US,JP,8.0,A,B,5.5,186834.2,0,0
19957980,2020-12-03,30,B,7,21,11,43,E3Q8ABV,RCBYIBZ,,,000048,US,US,0.0,C,S,700.0,2756820.0,0,0
97559850,2021-06-08,30,B,55,11,39,12,CIN0OY4,GLC58WF,,A5IT1U,000009,CN,CN,50.0,W1,G,16000.0,52.69000000000001,0,0
27123497,2020-06-22,20,B,42,21,12,9,VR0AM2A,WZ36CUN,VETZ9SZ,,000039,US,US,0.0,FUS1,B,1469.6,792.0,1,1
