Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS6 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
95643583,2020-01-19,21,B,84,21,18,40,H343WBY,SAD5WFU,RF7ZPJL,B12OMY,49,IT,IT,0.0,A,Y,40.0,2891.1,0,0
43679545,2020-05-01,13,B,11,27,11,41,DO8IOFX,QQVITFF,5TPWTPK,,73,CN,CN,8.0,A,B,66.0,332000.0,0,0
75680496,2020-09-03,33,B,10,21,43,11,PM3LF7N,M2SYR5O,GBU0SEN,L31COG,72,CN,CN,0.0,C,E,1986.0,10825206.45,0,0
75406828,2020-04-29,30,B,10,21,44,11,626DNVO,NCC5MNO,OMNTC1Q,,56,CN,CN,4.2,FCN1,S,3868.6,124.5,0,0
10085102,2020-02-06,20,B,10,21,11,41,00RURK1,GYLBD39,9TG9HU1,,94,FR,GB,0.0,FEU1,E,0.3,315.54,0,0
85065046,2020-09-28,16,B,10,21,11,41,RZXCX7U,9UV1003,CIDU9DA,,85,SG,TW,0.0,CIT,Y,1.8,277590.0,0,0
14583442,2020-06-17,20,B,10,21,11,11,76NV527,0E1NYSH,,,90,US,JP,8.0,A,G,10.2,196.0,1,1
96634104,2020-12-05,20,B,10,21,14,11,ZKB0LAL,1PEIC8Y,,,85,GB,GB,0.0,FEU1,Y,150.0,19230.0,0,0
24039616,2021-02-08,20,B,11,21,44,10,5ZMJCJR,CT22F6G,I1C31IB,,21,CA,CA,8.0,A,S,163.0,684.0,0,0
82597310,2020-03-23,40,B,10,21,43,10,6I8M76G,EMVN91W,TQCS1N6,GVKCEG,39,KR,JP,6.5,C,G,8757.0,4429.13,0,0
37341596,2021-06-09,20,B,11,21,11,11,DWNJQL8,0MNMNV8,76OH67K,,82,SK,SK,8.0,A,B,119.8,35583.0,1,1
35719967,2020-06-08,20,B,11,21,11,10,51JSZLY,2B0JGRS,ZN712GW,,85,DE,CH,0.0,C,Y,2.7,21117.6,0,0
67928957,2021-06-19,30,B,83,21,11,52,EK1IE52,BI5VG7W,902LILY,,23,NL,DK,71.0,W2,E,500.0,17490.0,1,1
95139799,2020-01-21,40,B,10,21,11,11,B5AGS2U,EJ3XXHM,I1C31IB,,90,DE,DE,1.3,CIT,B,10.1,25953.0,0,0
