Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS6 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
95515325,2020-12-03,40,B,11,21,11,40,3BTA0QN,RT96YOK,,,902780,CN,CN,0.0,CIT,G,11.0,35845.7,0,0
35139091,2020-05-12,16,B,11,21,11,10,E3Q8ABV,PC2A4KV,FHKJC71,,845150,CN,CN,0.0,FCN1,B,27200.0,9084800.0,0,0
14387763,2020-01-28,20,B,11,21,11,40,DWNJQL8,2VY98AT,SVTSB9Z,,392410,US,US,0.0,FUS1,E,1469.6,2057.44,1,1
97947165,2021-03-12,40,B,11,21,43,40,RGIIHEQ,5S3RCE5,4QC013K,EIZP3I,90421,CN,CN,270.0,W2,Y,4360.0,4496032.0,0,0
87113598,2020-05-08,20,B,11,21,11,10,E3Q8ABV,8BGWV9Z,OJP0SXE,,91011,CN,CN,377.3,W2,G,24000.0,4512000.0,0,0
64555220,2020-01-22,20,B,11,21,11,40,69Z0KLV,JCO6BW3,YZLV2C4,,420232,CN,CN,3.2,FCN1,E,70.0,6034.0,1,1
83326724,2020-08-25,82,B,11,21,0,10,ZGNH4UK,NF1PQZQ,3Y8ASW1,VZIZJJ,392490,CN,CN,6.5,C,G,47.9,52.69000000000001,0,0
55430345,2021-05-02,40,B,11,21,11,10,LJ19QLP,85LF707,1PLG40N,,392112,CN,CN,0.0,FCN1,E,2223.0,1049256.0,0,0
38279988,2021-03-11,20,B,11,11,43,40,9S0RDUA,80SQK2I,5C79H8W,MWIDNS,392490,CN,CN,6.5,C,Y,3.0,3.3000000000000003,0,0
54098318,2020-10-13,33,B,11,14,11,50,FOSYTA1,9KQBFDU,95JVT3P,,853669,DE,DE,0.0,FEU1,S,29.0,2032.9,0,0
83986836,2020-08-14,20,B,11,21,11,10,NZYZ967,Y7K2P0D,OIJ9WQJ,,847160,CN,CN,0.0,FCN1,E,130.0,379782.0,0,0
67494803,2021-03-19,33,B,84,28,14,10,PF1L1IG,IF64Z78,UC6KJKV,,732490,CN,CN,0.0,FCN1,B,354.5,43674.4,0,0
