Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS6 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
67329992,2021-04-05,20,B,11,21,11,10,B6C4G68,E6RQHPU,XGX9B1B,,392690,JP,JP,6.5,C,G,2.0,1.2,1,1
82013359,2021-01-04,20,B,11,21,14,10,TNRV2L7,3H7T61R,4KM1XJD,,851410,JP,JP,8.0,A,G,6500.0,5795400.0,0,0
23635398,2021-03-24,20,B,11,21,11,10,OZB7KED,TCH9AF6,AA99GQK,,610620,US,HN,13.0,A,Y,0.0,0.0,0,0
65238143,2020-08-20,62,B,87,21,11,10,6QOE6PS,3UMKF0O,WIB16QC,,481920,CN,CN,0.0,FCN1,B,2.0,1.2,0,0
41213762,2020-11-20,39,B,11,21,43,40,1XFQZDH,T87T3YL,1DWRP58,3JLK6O,950300,CN,CN,8.0,A,G,90.0,6021.000000000001,0,0
52988316,2021-04-20,30,B,11,21,43,10,7YOSHYM,H8MAG9J,X0RTTHA,,481032,US,US,0.0,C,S,16061.2,5561993.5600000005,0,0
22290398,2020-08-10,40,B,11,21,43,40,K3E28IQ,TUS3BDK,E44MM7Y,,721119,US,CA,0.0,C,E,1257.0,232545.0,1,1
78854398,2021-01-19,20,B,11,21,11,10,53KL7P3,LOHX7CW,W51HNAM,,940540,IT,CN,8.0,A,B,12.0,123.6,0,0
57417274,2020-02-13,40,B,11,21,11,40,GFTAPZC,Z8256XQ,,W6UCD9,970300,CN,CN,0.0,C,B,842.0,46310.0,1,1
46226742,2020-09-28,20,B,11,21,18,40,90L08TX,Y05KCXS,O9RM4M9,W6UCD9,821420,TW,TW,8.0,A,E,20.0,3348.0,0,0
89634073,2021-04-12,20,B,94,21,43,40,DWNJQL8,3OC4KGB,MQVFDXR,,481950,VN,KR,0.0,C,Y,29.0,113.1,0,0
16884099,2020-11-09,40,B,11,21,11,40,AZI5L7O,CXXCJV9,ZYZ8542,,720449,JP,JP,0.0,A,E,2094000.0,5653800.0,0,0
48796773,2020-05-27,33,B,11,21,11,10,F86LJJM,WPPK44S,Z4CU0NC,,20649,MX,MX,18.0,C,S,991.9,607241.18,0,0
